Item ID,Custom label,Product ID type,Product ID value,Product ID value 2,Quantity available,Purchases,Bids,Price,Start date,End date,Condition,Type,Item title,Category leaf name,Category number,Private notes,Site listed,Download date,Variation details,Product reference ID,Condition ID,OutOfStockControl
383683115867,ITEM00049,,,,2,0,,�5.64,19-Aug-20,,New,9,Oxford AQA GCSE History 9-1 : Conflict and Tension between East and West,School Textbooks & Study Guides,171223,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115868,ITEM00075,,,,2,2,,�9.29,19-Aug-20,,New,9,"Bioglan Biotic Balance Milk Choc Balls for Kids, 30 each",Vitamins & Minerals,11776,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115870,ITEM00039,,,,2,0,,�6.68,19-Aug-20,,New,9,Edexcel GCSE 9-1 Maths Foundation Workbook: For the 2020 Autumn & 2021 Summer,School Textbooks & Study Guides,171223,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115874,ITEM00064,,,,0,0,,�6.03,19-Aug-20,,New,9,Instant Family DVD 2019,DVDs & Blu-rays,617,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115875,ITEM00080,,,,0,0,,�5.59,19-Aug-20,,New,9,"KitchenCraft Runner Bean Cutter, 5.5 x 4 x 3 cm 2"" x 1.5"" x 1""",Peeler & Slicers,20641,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115876,ITEM00070,,,,2,0,,�5.97,19-Aug-20,,New,9,Leckie SNAP Revision ? National 5/Higher English Revision: Reading for,School Textbooks & Study Guides,171223,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115878,ITEM00060,,,,2,0,,�12.97,19-Aug-20,,New,9,Felix As Good As It Looks Cat Pouches Tuna In Jelly 100g 20 Pouches,Cat Food,63073,,3,29-Aug-20 01:32:32 BST,,4034680826,1000,false
383683115882,ITEM00085,,,,2,0,,�23.82,19-Aug-20,,New,9,"Dartington Crystal - Crystal Port, Liqueur and Dessert Glasses, Set of 6",Glassware & Drinkware,20696,,3,29-Aug-20 01:32:32 BST,,1453818318,1000,false
383683115883,ITEM00055,,,,0,0,,�21.08,19-Aug-20,,New,9,Learning Resources Anatomy Model Human Body,Science & Nature,11737,,3,29-Aug-20 01:32:32 BST,,,1000,false
383683115890,ITEM00045,,,,2,0,,�5.28,19-Aug-20,,New,9,BIRD SCARER 30M,Other Weed & Pest Control,50365,,3,29-Aug-20 01:32:32 BST,,4032575926,1000,false
383683115891,ITEM00065,,,,2,0,,�8.82,19-Aug-20,,New,9,"The Secret Teachings of All Ages: An Encyclopedic Outline of Masonic, Hermetic,",Non-Fiction,171243,,3,29-Aug-20 01:32:32 BST,,200593549,1000,false
383683115896,ITEM00040,,,,2,0,,�9.91,19-Aug-20,,New,9,Plasti-kote 9444 400ml Stone Touch - Manhattan Mist,"Other Paint, Stain & Varnish",180980,,3,29-Aug-20 01:32:32 BST,,,1000,false
